text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 8:40,FALSE,NA,7.20532E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",arcadiagt5,40,TRUE,FALSE,NA,NA
If #Telstra had balls they would have told the Archbishop of Syd &amp; the Catholic Church to politely fuck off.,FALSE,2,NA,14/04/2016 8:36,FALSE,NA,7.20531E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chrisohsyd,1,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 8:35,FALSE,NA,7.20531E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LesleyWalk,40,TRUE,FALSE,NA,NA
"#Telstra
Given the Telstra troubles we have ALL been having, shouldn't you be giving away free movie tickets!! 
#notrenewingmycontract",FALSE,1,NA,14/04/2016 8:34,FALSE,NA,7.20531E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HrzHun,0,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 8:26,FALSE,NA,7.20529E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MWhalan,40,TRUE,FALSE,NA,NA
RT @JacobRCarson: Hell of a way to come back from those PR troubles you've been having lately #Telstra,FALSE,0,NA,14/04/2016 8:22,FALSE,NA,7.20528E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ropate,6,TRUE,FALSE,NA,NA
HUGE mistake #Telstra The LGBTI community have a lot of allies who dont like your decision. #badforbusiness https://t.co/GtakZpMUBd,FALSE,1,NA,14/04/2016 8:19,FALSE,NA,7.20527E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aqua_Man_Om,0,FALSE,FALSE,NA,NA
RT @artbylynettag: Catholic Church silences #Telstra on same-sex marriage #thedrum #auspol #MarriageEquality @_Malcontent_ https://t.co/xMj…,FALSE,0,NA,14/04/2016 8:16,FALSE,NA,7.20526E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",opa1420,63,TRUE,FALSE,NA,NA
New Vlog on my #youtube discussing #telstra #marriageequality and the #catholicchurch LINK IN BIO<ed><U+00A0><U+00BD><ed><U+00B3><U+00B9> https://t.co/NLka3rNlT8,FALSE,1,NA,14/04/2016 8:15,FALSE,NA,7.20526E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Mikenactor,0,FALSE,FALSE,NA,NA
"#Telstra Honouring their marketing slogan ""the network without equal"" #marriageequality",FALSE,2,NA,14/04/2016 8:15,FALSE,NA,7.20526E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cunderthunts,0,FALSE,FALSE,NA,NA
