text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @jcalabra: The Catholic Church must have a HELL of a lot on money invested in this company.A HELL of a lot #TelstraOutage https://t.co/r…,FALSE,0,NA,13/04/2016 5:52,FALSE,NA,7.20128E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PeterMaddern55,4,TRUE,FALSE,NA,NA
Perhaps @Telstra are hoping for another #TelstraOutage to stop people from calling to leave? https://t.co/jjZnUVCk3a,FALSE,1,NA,13/04/2016 5:27,FALSE,NA,7.20121E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",THNsyd,0,FALSE,FALSE,NA,NA
The Catholic Church must have a HELL of a lot on money invested in this company.A HELL of a lot #TelstraOutage https://t.co/rqLangOU1u,FALSE,3,NA,13/04/2016 5:09,FALSE,NA,7.20117E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jcalabra,4,FALSE,FALSE,NA,NA
Dear Telstra please sort your shit out as well as your shit Internet. Thanks. #Telstra #TelstraOutage #telstradata,FALSE,1,NA,13/04/2016 4:12,FALSE,NA,7.20102E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SarahStarsky,0,FALSE,FALSE,NA,NA
@AMEQUALITY @brisbanecityqld is there a risk those rainbow colours will cause a #TelstraOutage ?,FALSE,0,AMEQUALITY,13/04/2016 3:26,FALSE,7.20088E+17,7.20091E+17,321680981,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FyfePeter,0,FALSE,FALSE,NA,NA
Telstra just told a customer that support for gay marriage is 'ideology' (via @BIAUS) https://t.co/TO4FnuvBch  #Telstra #TelstraOutage #Weak,FALSE,0,NA,13/04/2016 3:02,FALSE,NA,7.20085E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",turtlecoversrt,0,FALSE,FALSE,NA,NA
"#TelstraOutage Oh dear, it seems that https://t.co/g9SJ5DcJOQ is still down. :( /@Telstra #Telstra",FALSE,0,NA,13/04/2016 2:49,FALSE,NA,7.20082E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",philhart,0,FALSE,FALSE,NA,NA
I love how Catholic Church is trending for all the wrong reasons #TelstraOutage,FALSE,0,NA,13/04/2016 2:39,FALSE,NA,7.20079E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Samarkhand,0,FALSE,FALSE,NA,NA
@Telstra yesterday I was 1.5h from Melbourne and could hardly get mobile signal. What is the site to check outages? :) #TelstraOutage,FALSE,0,Telstra,13/04/2016 2:19,FALSE,NA,7.20074E+17,61636429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SamBe11,0,FALSE,FALSE,NA,NA
#TelstraOutage ftw! Since Sunday I have had to deal wit dial-up speed. @Telstra,FALSE,0,NA,13/04/2016 1:43,FALSE,NA,7.20065E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ArsamtheAwesome,0,FALSE,FALSE,NA,NA
@Telstra backs down on #SSM after Catholic Church threatens to excommunicate its telephone lines. #TelstraOutage,FALSE,0,Telstra,13/04/2016 1:35,FALSE,NA,7.20063E+17,61636429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",64AnthonyP,0,FALSE,FALSE,NA,NA
#telstraoutage since March 20 - fed up!!!,FALSE,0,NA,12/04/2016 23:17,FALSE,NA,7.20028E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",StaceyCopas,0,FALSE,FALSE,NA,NA
@Telstra more outages this morning #TelstraOutage enough is enough,FALSE,0,Telstra,12/04/2016 23:10,FALSE,NA,7.20026E+17,61636429,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AltaModaSydney,0,FALSE,FALSE,NA,NA
@telstra is there another outage? #telstraoutage,FALSE,0,Telstra,12/04/2016 3:17,FALSE,NA,7.19726E+17,61636429,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",laurawallbridge,0,FALSE,FALSE,NA,NA
@Telstra What is going on today?? #TelstraOutage https://t.co/I7OLY7pmEr,FALSE,2,Telstra,12/04/2016 2:10,FALSE,NA,7.19709E+17,61636429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",habboqueenswag,0,FALSE,FALSE,NA,NA
@Telstra no coverage Fitzroy. #telstraoutage,FALSE,0,Telstra,12/04/2016 0:58,FALSE,NA,7.19691E+17,61636429,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SilversAndrew,0,FALSE,FALSE,NA,NA
Someone forgot to turn #telstra on again this morning. Hardly enough coverage to send a Tweet. #telstraoutage @TurnbullMalcolm,FALSE,3,NA,11/04/2016 21:49,FALSE,NA,7.19644E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",RustyStainless,0,FALSE,FALSE,NA,NA
#TelstraOutage ... says it all https://t.co/2ntrKHtAUC,FALSE,0,NA,11/04/2016 12:20,FALSE,NA,7.195E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",david_noble,0,FALSE,FALSE,NA,NA
#PottsPoint #telstra customers get NO advance warning of #TelstraOutage NO compensation offer NO apology @Telstra Switching carrier soon,FALSE,1,NA,11/04/2016 9:33,FALSE,NA,7.19458E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",greekmcchic,0,FALSE,FALSE,NA,NA
"#PottsPoint #TelstraOutage we were told would be until 4 April, @Telstra shop today advises the lack of service will be until 18TH APRIL !",FALSE,0,NA,11/04/2016 9:31,FALSE,NA,7.19458E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",greekmcchic,0,FALSE,FALSE,NA,NA
"28   hehehe
""A company that has a reliable network""
#TelstraOutage",FALSE,0,NA,11/04/2016 7:03,FALSE,NA,7.19421E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JrehnJ,0,FALSE,FALSE,NA,NA
@MJMcKean There seems to be always a scandal at @Telstra as their service keeps dropping out and is in shambles.#Telstra #TelstraOutage,FALSE,0,MJMcKean,11/04/2016 5:30,FALSE,7.19343E+17,7.19397E+17,39097715,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SirBenKenobi,0,FALSE,FALSE,NA,NA
So over it. My data has not been working all day #TelstraOutage https://t.co/1xTFqXbMh3,FALSE,0,NA,11/04/2016 4:33,FALSE,NA,7.19383E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CaitlinDidic,0,FALSE,FALSE,NA,NA
